citing_author,cited_author,cite_year
168,699,2015
345,699,2015
168,599,2015
345,599,2015
168,592,2015
345,592,2015
168,590,2015
345,590,2015
132,343,2017
528,343,2017
132,666,2017
528,666,2017
132,327,2017
528,327,2017
132,122,2017
528,122,2017
132,682,2017
528,682,2017
132,744,2017
528,744,2017
132,413,2017
528,413,2017
132,231,2017
528,231,2017
675,343,2016
666,343,2016
675,666,2016
666,666,2016
675,327,2016
666,327,2016
675,641,2016
666,641,2016
675,122,2016
666,122,2016
675,491,2016
666,491,2016
675,628,2016
666,628,2016
675,70,2016
666,70,2016
675,205,2016
666,205,2016
675,49,2016
666,49,2016
675,593,2016
666,593,2016
675,705,2016
666,705,2016
675,100,2016
666,100,2016
675,657,2016
666,657,2016
675,601,2016
666,601,2016
377,343,2018
275,343,2018
377,682,2018
275,682,2018
377,699,2018
275,699,2018
377,545,2018
275,545,2018
377,593,2018
275,593,2018
377,280,2018
275,280,2018
377,534,2018
275,534,2018
377,377,2018
275,377,2018
362,666,2020
417,666,2020
63,666,2020
171,666,2020
668,666,2020
362,491,2020
417,491,2020
63,491,2020
171,491,2020
668,491,2020
362,232,2020
417,232,2020
63,232,2020
171,232,2020
668,232,2020
362,327,2020
417,327,2020
63,327,2020
171,327,2020
668,327,2020
362,628,2020
417,628,2020
63,628,2020
171,628,2020
668,628,2020
637,666,2019
338,666,2019
754,666,2019
444,666,2020
192,666,2020
650,666,2020
562,666,2020
101,666,2020
444,364,2020
192,364,2020
650,364,2020
562,364,2020
101,364,2020
444,588,2020
192,588,2020
650,588,2020
562,588,2020
101,588,2020
444,635,2020
192,635,2020
650,635,2020
562,635,2020
101,635,2020
444,440,2020
192,440,2020
650,440,2020
562,440,2020
101,440,2020
444,729,2020
192,729,2020
650,729,2020
562,729,2020
101,729,2020
444,691,2020
192,691,2020
650,691,2020
562,691,2020
101,691,2020
444,707,2020
192,707,2020
650,707,2020
562,707,2020
101,707,2020
444,660,2020
192,660,2020
650,660,2020
562,660,2020
101,660,2020
444,363,2020
192,363,2020
650,363,2020
562,363,2020
101,363,2020
444,664,2020
192,664,2020
650,664,2020
562,664,2020
101,664,2020
444,551,2020
192,551,2020
650,551,2020
562,551,2020
101,551,2020
444,244,2020
192,244,2020
650,244,2020
562,244,2020
101,244,2020
132,179,2016
528,179,2016
132,511,2016
528,511,2016
132,666,2016
528,666,2016
132,327,2016
528,327,2016
132,200,2016
528,200,2016
132,286,2016
528,286,2016
132,279,2016
528,279,2016
471,666,2006
471,327,2006
471,682,2006
406,161,2019
560,161,2019
406,678,2019
560,678,2019
406,535,2019
560,535,2019
406,381,2019
560,381,2019
406,454,2019
560,454,2019
406,470,2019
560,470,2019
406,122,2019
560,122,2019
406,343,2019
560,343,2019
406,707,2019
560,707,2019
406,68,2019
560,68,2019
406,291,2019
560,291,2019
406,750,2019
560,750,2019
406,41,2019
560,41,2019
406,399,2019
560,399,2019
406,352,2019
560,352,2019
406,84,2019
560,84,2019
406,364,2019
560,364,2019
406,588,2019
560,588,2019
406,210,2019
560,210,2019
406,635,2019
560,635,2019
406,560,2019
560,560,2019
406,406,2019
560,406,2019
406,752,2019
560,752,2019
511,447,2010
511,511,2010
511,425,2010
511,407,2010
511,285,2010
511,462,2010
511,55,2010
511,68,2010
108,511,2011
511,511,2011
340,511,2011
108,666,2011
511,666,2011
340,666,2011
108,327,2011
511,327,2011
340,327,2011
108,407,2011
511,407,2011
340,407,2011
108,285,2011
511,285,2011
340,285,2011
108,462,2011
511,462,2011
340,462,2011
108,641,2011
511,641,2011
340,641,2011
108,601,2011
511,601,2011
340,601,2011
535,81,2016
611,81,2016
371,81,2016
535,328,2016
611,328,2016
371,328,2016
535,535,2016
611,535,2016
371,535,2016
535,454,2016
611,454,2016
371,454,2016
535,372,2016
611,372,2016
371,372,2016
28,744,2017
714,744,2017
94,161,2010
636,161,2010
44,161,2010
80,161,2010
94,585,2010
636,585,2010
44,585,2010
80,585,2010
94,706,2010
636,706,2010
44,706,2010
80,706,2010
187,161,2020
235,161,2020
362,161,2020
187,678,2020
235,678,2020
362,678,2020
187,122,2020
235,122,2020
362,122,2020
187,343,2020
235,343,2020
362,343,2020
187,337,2020
235,337,2020
362,337,2020
187,325,2020
235,325,2020
362,325,2020
187,707,2020
235,707,2020
362,707,2020
187,3,2020
235,3,2020
362,3,2020
187,744,2020
235,744,2020
362,744,2020
187,511,2020
235,511,2020
362,511,2020
406,161,2021
443,161,2021
406,678,2021
443,678,2021
406,439,2021
443,439,2021
406,343,2021
443,343,2021
406,3,2021
443,3,2021
406,744,2021
443,744,2021
406,122,2021
443,122,2021
406,682,2021
443,682,2021
406,560,2021
443,560,2021
406,406,2021
443,406,2021
406,676,2021
443,676,2021
406,361,2021
443,361,2021
406,19,2021
443,19,2021
406,457,2021
443,457,2021
638,641,2007
508,641,2007
638,707,2007
508,707,2007
638,308,2007
508,308,2007
638,295,2007
508,295,2007
638,301,2007
508,301,2007
638,744,2007
508,744,2007
272,641,2003
107,641,2003
89,641,2003
272,495,2003
107,495,2003
89,495,2003
272,346,2003
107,346,2003
89,346,2003
272,105,2003
107,105,2003
89,105,2003
272,39,2003
107,39,2003
89,39,2003
272,594,2003
107,594,2003
89,594,2003
272,447,2003
107,447,2003
89,447,2003
511,641,2004
511,613,2004
511,632,2004
566,641,2020
283,641,2020
430,641,2020
504,641,2020
566,430,2020
283,430,2020
430,430,2020
504,430,2020
566,585,2020
283,585,2020
430,585,2020
504,585,2020
566,420,2020
283,420,2020
430,420,2020
504,420,2020
566,751,2020
283,751,2020
430,751,2020
504,751,2020
566,308,2020
283,308,2020
430,308,2020
504,308,2020
566,295,2020
283,295,2020
430,295,2020
504,295,2020
344,641,2014
403,641,2014
228,641,2014
344,10,2014
403,10,2014
228,10,2014
344,250,2014
403,250,2014
228,250,2014
344,231,2014
403,231,2014
228,231,2014
344,682,2014
403,682,2014
228,682,2014
344,699,2014
403,699,2014
228,699,2014
344,280,2014
403,280,2014
228,280,2014
344,725,2014
403,725,2014
228,725,2014
344,122,2014
403,122,2014
228,122,2014
344,420,2014
403,420,2014
228,420,2014
228,641,2016
344,641,2016
403,641,2016
228,10,2016
344,10,2016
403,10,2016
228,250,2016
344,250,2016
403,250,2016
228,231,2016
344,231,2016
403,231,2016
228,682,2016
344,682,2016
403,682,2016
228,699,2016
344,699,2016
403,699,2016
228,280,2016
344,280,2016
403,280,2016
228,420,2016
344,420,2016
403,420,2016
228,725,2016
344,725,2016
403,725,2016
228,122,2016
344,122,2016
403,122,2016
94,641,2009
388,641,2009
410,641,2009
189,641,2012
748,641,2012
189,707,2012
748,707,2012
684,641,2019
382,641,2019
133,641,2019
5,641,2019
75,641,2019
684,744,2019
382,744,2019
133,744,2019
5,744,2019
75,744,2019
684,308,2019
382,308,2019
133,308,2019
5,308,2019
75,308,2019
576,641,2008
499,641,2008
576,122,2008
499,122,2008
576,379,2008
499,379,2008
15,641,2013
45,641,2006
197,641,2006
45,491,2006
197,491,2006
45,628,2006
197,628,2006
173,641,2004
149,641,2004
695,641,2011
627,641,2011
2,641,2011
692,678,2019
692,3,2019
404,3,2019
692,744,2019
404,744,2019
692,560,2019
404,560,2019
692,406,2019
404,406,2019
555,381,2018
328,381,2018
211,381,2018
277,381,2018
662,381,2018
617,381,2018
555,454,2018
328,454,2018
211,454,2018
277,454,2018
662,454,2018
617,454,2018
555,658,2018
328,658,2018
211,658,2018
277,658,2018
662,658,2018
617,658,2018
483,511,2009
530,511,2009
313,511,2009
483,707,2009
530,707,2009
313,707,2009
483,198,2009
530,198,2009
313,198,2009
483,678,2009
530,678,2009
313,678,2009
483,613,2009
530,613,2009
313,613,2009
483,62,2009
530,62,2009
313,62,2009
483,364,2009
530,364,2009
313,364,2009
483,588,2009
530,588,2009
313,588,2009
483,635,2009
530,635,2009
